Inventarisnr.,Inv.srt,Omschrijving,Straat,Thv,X-Coord.,Y-Coord.,Deelgem.,Status,Mutdatum,Door user
FT305,FT,Fietstrommel,RODENRYSELN,2,51.93511963,4.472799778,Noord,A,13/07/2010,BEHEER-STZ
FT306,FT,Fietstrommel,VRYENBANSESTR,17/29,51.93632126,4.473320007,Noord,A,13/07/2010,STREPE
FT307,FT,Fietstrommel,VRYENBANSESTR,17/29,51.93632126,4.473320007,Noord,A,07/06/2009,Conversie
FT308,FT,Fietstrommel,BERGSELN,126,51.93883896,4.474949837,Noord,A,13/07/2010,STREPE
FT309,FT,Fietstrommel,NOBELSTR,113,51.93193054,4.459310055,Noord,A,07/06/2009,Conversie
FT31,FT,Fietstrommel,BREITNERSTR,89 c,51.91418839,4.467030048,Centrum,A,07/06/2009,Conversie
FT310,FT,Fietstrommel,LISSTR,2,51.93886185,4.475699902,Noord,A,13/07/2010,STREPE
FT311,FT,Fietstrommel,ST AGATHASTR,9,51.93909836,4.476880074,Noord,A,13/07/2010,BEHEER-STZ
FT312,FT,Fietstrommel,WILLEBRORDUSPLN,23,51.93722916,4.477200031,Noord,A,13/07/2010,STREPE
FT313,FT,Fietstrommel,SOETENDAALSEWG,91,51.93928909,4.480669975,Noord,A,13/07/2010,BEHEER-STZ
FT314,FT,Fietstrommel,SOETENDAALSEWG,91,51.93928909,4.480669975,Noord,A,18/03/2011,OOMEBE
FT315,FT,Fietstrommel,BLOKLANDSTR,63,51.93611908,4.483530045,Noord,A,07/06/2009,Conversie
FT316,FT,Fietstrommel,BLOKLANDSTR,67,51.93616104,4.4833498,Noord,A,13/07/2010,STREPE
FT317,FT,Fietstrommel,J CATSSTR,45,51.93360138,4.482110023,Noord,A,07/06/2009,Conversie
FT318,FT,Fietstrommel,SCHEPENSTR,76,51.92871857,4.465030193,Noord,A,07/06/2009,Conversie
FT319,FT,Fietstrommel,SCHEPENSTR,76,51.92871857,4.465030193,Noord,A,07/06/2009,Conversie
FT32,FT,Fietstrommel,KR ELLEBOOG,35,51.91587067,4.476480007,Centrum,A,06/07/2010,STREPE
FT320,FT,Fietstrommel,OOSTZEEDK,163A,51.92232132,4.503509998,Kralingen/Crooswijk,A,13/07/2010,STREPE
FT321,FT,Fietstrommel,OOSTZEEDK,25,51.91873932,4.515729904,Kralingen/Crooswijk,A,13/07/2010,BEHEER-STZ
FT322,FT,Fietstrommel,OOSTMAASLN,127,51.91820145,4.511610031,Kralingen/Crooswijk,A,13/07/2010,STREPE
FT323,FT,Fietstrommel,OOSTMAASLN,127,51.91820145,4.511610031,Kralingen/Crooswijk,A,13/07/2010,BEHEER-STZ
FT324,FT,Fietstrommel,OOSTMAASSTR,5,51.92441177,4.509709835,Kralingen/Crooswijk,P,15/09/2010,STREPE
FT325,FT,Fietstrommel,VOORSCHOTERLN,45,51.92467117,4.513169765,Kralingen/Crooswijk,A,13/07/2010,BEHEER-STZ
FT326,FT,Fietstrommel,PLANTAGEWG,5,51.92922974,4.505129814,Kralingen/Crooswijk,A,13/07/2010,STREPE
FT327,FT,Fietstrommel,PLANTAGEWG,16,51.92850876,4.504670143,Kralingen/Crooswijk,A,13/07/2010,BEHEER-STZ
FT328,FT,Fietstrommel,PLANTAGEWG,17,51.9283905,4.504590034,Kralingen/Crooswijk,A,07/06/2009,Conversie
FT329,FT,Fietstrommel,PLANTAGEWG,27,51.92798996,4.504340172,Kralingen/Crooswijk,A,13/07/2010,BEHEER-STZ
FT33,FT,Fietstrommel,2E JERICHOSTR,4,51.93066025,4.507609844,Kralingen/Crooswijk,A,07/06/2009,Conversie
FT330,FT,Fietstrommel,PLANTAGEWG,35,51.92750931,4.504030228,Kralingen/Crooswijk,A,13/07/2010,STREPE
FT331,FT,Fietstrommel,RAMLEHWG,38,51.9302597,4.503719807,Kralingen/Crooswijk,A,07/06/2009,Conversie
FT332,FT,Fietstrommel,RAMLEHWG,30,51.93058014,4.503930092,Kralingen/Crooswijk,A,13/07/2010,STREPE
FT333,FT,Fietstrommel,2E WANDELO DWSTR,7,51.93767166,4.495120049,Kralingen/Crooswijk,A,13/07/2010,BEHEER-STZ
FT334,FT,Fietstrommel,KRALINGSE PLASLN,92,51.93181992,4.50838995,Kralingen/Crooswijk,A,13/07/2010,STREPE
FT335,FT,Fietstrommel,ROCHUSSENSTR,41,51.91508102,4.469979763,Centrum,A,13/07/2010,BEHEER-STZ
FT336,FT,Fietstrommel,DIERGAARDESNGL,19,51.92198944,4.466139793,Centrum,A,07/06/2009,Conversie
FT337,FT,Fietstrommel,BOOMPJES,55/56,51.91625977,4.489779949,Centrum,A,13/07/2010,BEHEER-STZ
FT338,FT,Fietstrommel,PARKSTR,10,51.90689087,4.475949764,Centrum,A,13/07/2010,STREPE
FT339,FT,Fietstrommel,ZALMHAVEN,19,51.91138077,4.4801898,Centrum,A,07/06/2009,Conversie
FT34,FT,Fietstrommel,BERGWG,285,51.93408966,4.47412014,Noord,A,07/06/2009,Conversie
FT340,FT,Fietstrommel,ZALMHAVEN,19,51.91138077,4.4801898,Centrum,A,07/06/2009,Conversie
FT341,FT,Fietstrommel,WESTERSTR,24,51.90943146,4.481709957,Centrum,A,07/06/2009,Conversie
FT342,FT,Fietstrommel,OOSTMAASSTR,5,51.92441177,4.509709835,Centrum,A,13/07/2010,STREPE
FT343,FT,Fietstrommel,KLEIWG,265,51.92670822,4.46585989,Hillegersberg,A,13/07/2010,BEHEER-STZ
FT344,FT,Fietstrommel,MAASSTR,4,51.90906906,4.480239868,Centrum,A,13/07/2010,STREPE
FT345,FT,Fietstrommel,MAASSTR,18,51.90856934,4.481369972,Centrum,A,13/07/2010,BEHEER-STZ
FT346,FT,Fietstrommel,HARINGVLIET,63,51.92065811,4.495600224,Centrum,A,13/07/2010,STREPE
FT347,FT,Fietstrommel,OPPERT,,,,Centrum,A,13/07/2010,BEHEER-STZ
FT348,FT,Fietstrommel,OPPERT,,,,Centrum,A,13/07/2010,STREPE
FT349,FT,Fietstrommel,MYNSHERENPLN,to 14,51.89542007,4.493289948,Charlois,A,18/01/2012,OOMEBE
FT35,FT,Fietstrommel,VD MEYDESTR,29,51.93069839,4.457320213,Noord,A,07/06/2009,Conversie
FT350,FT,Fietstrommel,MYNSHERENPLN,14,51.89542007,4.493289948,Charlois,A,18/01/2012,OOMEBE
FT351,FT,Fietstrommel,BOOMGAARDHOF,33,51.91735077,4.475810051,Centrum,A,13/07/2010,BEHEER-STZ
FT352,FT,Fietstrommel,SCHIEDAMSESNGL,193,51.91344833,4.479279995,Centrum,A,13/07/2010,STREPE
FT353,FT,Fietstrommel,KIPSTR,29,51.92309952,4.491670132,Centrum,A,13/07/2010,BEHEER-STZ
FT354,FT,Fietstrommel,SCHIEDAMSESNGL,191,51.9134903,4.479189873,Centrum,A,13/07/2010,STREPE
